case_id,incident_time,month,hour,season,sea_area_type,vessel_type,tonnage,leeway_key,incident_lat,incident_lon,elapsed_hours,wind_speed_mps,wind_direction_deg,tidal_current_amplitude_kt,l1_pred_lat,l1_pred_lon,synthetic_found_lat,synthetic_found_lon,delta_lat,delta_lon,l1_error_km,is_synthetic,synthetic_method
L3_SYN_0012,2024-04-06 08:08:00,4,8,여름,외해,어선,4.0,소형어선,34.68583,125.44028,3.93,4.8,181.0,0.9,34.68795,125.41817,34.68161,125.41855,-0.006347,0.000383,0.705,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0013,2022-12-27 14:33:00,12,14,겨울,연안,모터보트,4.0,레저보트,34.80583,126.36417,5.14,6.1,296.0,1.6,34.75209,126.37424,34.74284,126.38713,-0.009254,0.012888,1.56,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0014,2013-07-27 19:15:00,7,19,여름,외해,어선,4.0,소형어선,35.02833,125.92806,0.99,7.4,220.0,0.9,35.02852,125.92509,35.02057,125.92558,-0.007949,0.000487,0.883,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0015,2011-03-21 22:50:00,3,22,겨울,연안,어선,4.0,소형어선,34.78333,126.38389,4.95,6.9,298.0,1.6,34.82005,126.47346,34.81285,126.501,-0.0072,0.027534,2.634,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0016,2024-03-15 06:19:00,3,6,겨울,외해,관공선,4.0,기타,34.68583,125.44167,3.34,7.6,329.0,0.9,34.66034,125.44034,34.65489,125.43618,-0.005453,-0.00416,0.715,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0017,2014-12-03 07:56:00,12,7,겨울,외해,어선,4.0,소형어선,33.8,125.38333,2.25,7.5,305.0,0.9,33.77503,125.37701,33.77487,125.38444,-0.000165,0.007431,0.686,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0018,2013-07-11 09:00:00,7,9,여름,연안,모터보트,4.0,레저보트,34.61278,126.22389,1.21,3.7,188.0,1.6,34.63634,126.24558,34.6318,126.24573,-0.004546,0.000148,0.505,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0019,2022-12-31 02:07:00,12,2,겨울,외해,낚시어선,4.0,소형어선,34.36056,125.91972,1.45,2.9,299.0,0.9,34.3483,125.91003,34.34295,125.92063,-0.005348,0.010602,1.138,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0020,2024-10-29 10:52:00,10,10,여름,연안,어선,4.0,소형어선,34.80333,126.35556,2.47,13.3,277.0,1.6,34.8427,126.42994,34.82139,126.423,-0.021307,-0.006948,2.448,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0021,2024-09-07 17:04:00,9,17,여름,연안,어선,4.0,소형어선,34.74806,126.32889,2.9,4.2,252.0,1.6,34.74805,126.337,34.74717,126.33965,-0.000881,0.002657,0.261,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0022,2011-10-05 23:10:00,10,23,여름,외해,어선,4.0,소형어선,34.23333,125.76667,3.42,3.5,187.0,0.9,34.24958,125.77892,34.25369,125.7815,0.004114,0.002578,0.514,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0023,2017-09-02 12:07:00,9,12,여름,연안,어선,4.0,소형어선,34.98417,126.28333,1.53,6.3,186.0,1.6,35.01777,126.31099,35.01756,126.30658,-0.000206,-0.004409,0.402,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0024,2012-02-18 11:10:00,2,11,겨울,연안,기타,4.0,기타,35.40361,126.40361,2.79,5.8,6.0,1.6,35.37045,126.37028,35.37195,126.3929,0.001499,0.022622,2.053,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0025,2014-07-04 08:00:00,7,8,여름,외해,낚시어선,4.0,소형어선,35.32528,125.44583,4.46,9.3,219.0,0.9,35.35822,125.49532,35.3556,125.48471,-0.00262,-0.010605,1.003,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0026,2019-02-13 18:12:00,2,18,겨울,연안,화물선,4.0,기타,34.52333,126.1825,2.61,3.3,283.0,1.6,34.4934,126.15425,34.48883,126.1524,-0.004569,-0.001851,0.535,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0027,2021-09-26 16:53:00,9,16,여름,연안,기타,4.0,기타,34.775,126.29667,0.82,7.1,276.0,1.6,34.78447,126.31114,34.77504,126.31093,-0.009432,-0.000207,1.047,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0028,2021-05-28 02:25:00,5,2,여름,외해,화물선,4.0,기타,34.025,125.82028,1.8,11.5,197.0,0.9,34.05441,125.83864,34.04788,125.84397,-0.006532,0.005329,0.875,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0029,2018-07-12 07:21:00,7,7,여름,외해,어선,4.0,소형어선,34.98556,125.21694,3.2,5.7,207.0,0.9,35.02671,125.25186,35.02554,125.24,-0.001178,-0.011861,1.087,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0030,2024-10-07 03:12:00,10,3,여름,연안,어선,4.0,소형어선,34.79861,126.34528,1.15,4.5,253.0,1.6,34.809,126.35995,34.81034,126.35772,0.00134,-0.002226,0.252,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0031,2014-07-14 17:16:00,7,17,여름,연안,어선,4.0,소형어선,35.05722,126.17778,1.99,4.5,195.0,1.6,35.08393,126.20185,35.08017,126.20667,-0.003759,0.004818,0.605,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0032,2024-08-03 03:55:00,8,3,여름,외해,예부선,4.0,기타,35.26056,125.99306,2.78,4.6,232.0,0.9,35.2816,126.0153,35.28057,126.01202,-0.001028,-0.003276,0.318,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0033,2019-07-12 01:13:00,7,1,여름,외해,어선,4.0,소형어선,35.08333,125.48333,2.61,9.3,241.0,0.9,35.10855,125.52637,35.11281,125.52048,0.004264,-0.005892,0.714,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0034,2020-08-02 06:45:00,8,6,여름,연안,어선,4.0,소형어선,34.28417,126.12806,2.05,4.5,198.0,1.6,34.32488,126.16618,34.32461,126.16034,-0.000271,-0.005836,0.536,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0035,2011-05-04 19:10:00,5,19,여름,외해,어선,4.0,소형어선,34.5,125.86667,2.28,4.5,211.0,0.9,34.49931,125.8567,34.494,125.841,-0.005312,-0.015696,1.552,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0036,2012-08-15 14:57:00,8,14,여름,연안,기타,4.0,기타,35.1375,126.07778,1.02,4.1,206.0,1.6,35.12375,126.05774,35.12279,126.06796,-0.000962,0.010215,0.933,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0037,2020-12-12 18:06:00,12,18,겨울,연안,어선,4.0,소형어선,34.59111,126.28167,3.33,3.5,339.0,1.6,34.59348,126.30278,34.58722,126.31375,-0.006256,0.010973,1.22,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0038,2019-05-03 04:53:00,5,4,여름,연안,기타,4.0,기타,34.36889,126.11806,1.88,4.9,231.0,1.6,34.3762,126.12951,34.36909,126.12196,-0.007109,-0.007551,1.049,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0039,2022-09-24 21:17:00,9,21,여름,연안,화물선,4.0,기타,34.185,126.05111,1.19,6.4,187.0,1.6,34.19812,126.06406,34.19789,126.05261,-0.00023,-0.011443,1.051,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0040,2019-09-25 14:37:00,9,14,여름,연안,어선,4.0,소형어선,34.8725,126.38556,2.79,3.7,250.0,1.6,34.85467,126.37455,34.85379,126.37242,-0.000877,-0.002136,0.218,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0041,2015-10-07 12:40:00,10,12,여름,외해,낚시어선,4.0,소형어선,35.3,125.33333,3.52,7.7,230.0,0.9,35.3261,125.37669,35.33294,125.37124,0.006844,-0.005448,0.906,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0042,2019-01-13 11:38:00,1,11,겨울,외해,낚시어선,4.0,소형어선,33.97167,125.20667,2.9,3.0,289.0,0.9,33.96041,125.20635,33.96334,125.21477,0.002923,0.008414,0.84,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0043,2021-06-03 08:47:00,6,8,여름,연안,요트,4.0,레저보트,35.035,126.03083,1.93,3.5,215.0,1.6,35.04503,126.03958,35.05196,126.03312,0.00693,-0.006459,0.968,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0044,2015-09-23 09:00:00,9,9,여름,연안,고무보트,4.0,레저보트,34.825,126.28833,2.9,5.9,233.0,1.6,34.87591,126.36557,34.87552,126.36064,-0.000387,-0.004923,0.451,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0045,2013-09-05 06:55:00,9,6,여름,외해,어선,4.0,소형어선,34.11667,125.21667,1.45,6.6,201.0,0.9,34.12238,125.22078,34.12996,125.21574,0.007585,-0.005043,0.961,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0046,2021-12-23 06:41:00,12,6,겨울,연안,화물선,4.0,기타,34.19806,126.10722,4.79,4.0,343.0,1.6,34.24589,126.18905,34.24424,126.20561,-0.001653,0.016557,1.531,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0047,2022-03-17 05:41:00,3,5,겨울,외해,어선,4.0,소형어선,34.30083,125.9225,2.73,2.9,333.0,0.9,34.28066,125.90876,34.28287,125.91278,0.002207,0.004026,0.443,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0048,2024-01-11 07:22:00,1,7,겨울,연안,화물선,4.0,기타,34.77139,126.29083,1.17,4.4,298.0,1.6,34.78278,126.30985,34.78245,126.32393,-0.000327,0.014082,1.284,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0049,2018-11-01 10:33:00,11,10,겨울,연안,모터보트,4.0,레저보트,34.82778,126.31417,3.03,6.3,305.0,1.6,34.85732,126.39733,34.8687,126.41692,0.011377,0.019587,2.186,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0050,2013-10-04 07:35:00,10,7,여름,연안,요트,4.0,레저보트,34.31722,126.10778,1.27,5.4,234.0,1.6,34.31792,126.10851,34.31198,126.10494,-0.005941,-0.003566,0.736,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0051,2024-09-18 16:27:00,9,16,여름,연안,기타,4.0,기타,34.70806,126.21806,3.66,4.4,244.0,1.6,34.75902,126.29343,34.76915,126.28176,0.010134,-0.011673,1.549,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0052,2021-01-15 09:26:00,1,9,겨울,연안,화물선,4.0,기타,34.97472,126.28139,3.1,3.7,329.0,1.6,34.9401,126.25479,34.93181,126.27157,-0.008283,0.016781,1.782,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0053,2015-07-16 09:25:00,7,9,여름,연안,예부선,4.0,기타,34.78694,126.39111,1.37,7.4,224.0,1.6,34.8049,126.40866,34.80452,126.40729,-0.000381,-0.001372,0.132,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0054,2020-11-14 08:27:00,11,8,겨울,연안,어선,4.0,소형어선,34.495,126.04972,5.03,10.3,306.0,1.6,34.49713,126.14239,34.51848,126.18252,0.021354,0.040131,4.37,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0055,2022-10-23 11:10:00,10,11,여름,연안,낚시어선,4.0,소형어선,34.88583,126.10278,1.77,6.0,188.0,1.6,34.86739,126.06667,34.86054,126.06907,-0.006855,0.002399,0.792,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0056,2021-09-07 19:35:00,9,19,여름,연안,어선,4.0,소형어선,35.02,126.01667,6.1,6.3,241.0,1.6,35.06781,126.11374,35.07123,126.10206,0.003414,-0.011685,1.128,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0057,2013-07-05 13:10:00,7,13,여름,외해,어선,4.0,소형어선,35.16667,125.86667,1.15,3.6,262.0,0.9,35.17088,125.87553,35.17471,125.86513,0.003829,-0.010398,1.035,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0058,2024-07-28 07:19:00,7,7,여름,연안,고무보트,4.0,레저보트,35.44917,126.42389,1.41,7.1,231.0,1.6,35.4462,126.42741,35.4508,126.43423,0.004595,0.006827,0.801,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0059,2011-09-08 11:32:00,9,11,여름,연안,기타,4.0,기타,34.88472,126.22917,2.03,4.5,220.0,1.6,34.92747,126.27696,34.922,126.2673,-0.005474,-0.00966,1.069,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0060,2019-10-25 14:08:00,10,14,여름,연안,어선,4.0,소형어선,34.59861,126.1575,0.87,10.3,221.0,1.6,34.60417,126.16675,34.60097,126.16462,-0.003199,-0.002133,0.405,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0061,2022-09-15 16:45:00,9,16,여름,연안,예부선,4.0,기타,34.7825,126.40889,1.58,10.4,222.0,1.6,34.77272,126.40118,34.77625,126.39991,0.003526,-0.001266,0.408,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0062,2020-10-31 10:53:00,10,10,여름,연안,고무보트,4.0,레저보트,34.85667,126.22028,1.98,1.6,220.0,1.6,34.88524,126.25375,34.88591,126.25627,0.000673,0.002519,0.241,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0063,2020-11-30 07:09:00,11,7,겨울,외해,어선,4.0,소형어선,34.76917,125.83667,1.97,3.7,288.0,0.9,34.77872,125.85567,34.78475,125.86288,0.006028,0.007217,0.938,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0064,2018-09-02 16:31:00,9,16,여름,외해,어선,4.0,소형어선,33.83,125.35,2.08,6.6,247.0,0.9,33.84164,125.37642,33.83708,125.37055,-0.004557,-0.005869,0.741,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0065,2015-09-04 00:53:00,9,0,여름,연안,기타,4.0,기타,34.83333,126.36667,0.99,13.7,201.0,1.6,34.82908,126.35886,34.82885,126.35854,-0.000226,-0.00032,0.038,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0066,2022-08-05 16:30:00,8,16,여름,외해,유조선,4.0,기타,34.70139,125.35306,4.53,4.4,180.0,0.9,34.67937,125.30249,34.67972,125.30895,0.000343,0.006462,0.591,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0067,2013-02-05 05:30:00,2,5,겨울,연안,예부선,4.0,기타,34.45,126.07167,3.52,3.1,304.0,1.6,34.40963,126.0374,34.41077,126.05345,0.001145,0.016049,1.474,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0068,2022-01-08 12:55:00,1,12,겨울,연안,모터보트,4.0,레저보트,34.33472,126.13528,3.16,9.0,320.0,1.6,34.28397,126.13681,34.2945,126.16654,0.01053,0.029733,2.965,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0069,2021-04-28 07:07:00,4,7,여름,연안,기타,4.0,기타,34.83194,126.37722,2.76,4.1,219.0,1.6,34.88002,126.43951,34.88422,126.43024,0.004194,-0.009268,0.964,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0070,2022-07-10 04:40:00,7,4,여름,연안,화물선,4.0,기타,34.51944,126.03444,1.69,2.4,199.0,1.6,34.50547,126.01415,34.50271,126.00433,-0.002762,-0.009817,0.949,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0071,2017-03-09 08:25:00,3,8,겨울,연안,어선,4.0,소형어선,34.6,126.1,8.0,2.1,320.0,1.6,34.65174,126.19104,34.65369,126.23897,0.001946,0.047927,4.384,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0072,2021-02-19 05:40:00,2,5,겨울,외해,화물선,4.0,기타,33.96833,124.88472,1.15,18.0,304.0,0.9,33.95177,124.88806,33.94883,124.88028,-0.002937,-0.007777,0.787,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0073,2022-09-08 14:16:00,9,14,여름,연안,어선,4.0,소형어선,35.0425,126.1275,1.11,7.1,255.0,1.6,35.04262,126.13349,35.04318,126.13046,0.000556,-0.003029,0.282,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0074,2024-10-14 05:28:00,10,5,여름,외해,어선,4.0,소형어선,34.36417,125.14917,1.43,4.0,224.0,0.9,34.37466,125.16408,34.37675,125.1595,0.002089,-0.004586,0.48,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0075,2019-11-22 23:44:00,11,23,겨울,외해,어선,4.0,소형어선,34.97778,124.98056,1.99,5.4,303.0,0.9,34.97421,124.9904,34.97546,125.00343,0.001252,0.013031,1.193,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0076,2024-01-13 04:12:00,1,4,겨울,외해,화물선,4.0,기타,34.44,125.9575,1.02,6.2,329.0,0.9,34.43346,125.95675,34.43404,125.96564,0.000581,0.008887,0.816,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0077,2014-11-14 17:25:00,11,17,겨울,외해,낚시어선,4.0,소형어선,34.6,125.36667,1.02,4.1,332.0,0.9,34.60578,125.37991,34.6062,125.3914,0.000411,0.011488,1.051,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0078,2021-11-19 15:35:00,11,15,겨울,연안,어선,4.0,소형어선,34.78528,126.365,4.67,8.3,322.0,1.6,34.82042,126.47203,34.80712,126.47415,-0.013298,0.002113,1.489,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0079,2021-03-14 04:35:00,3,4,겨울,연안,모터보트,4.0,레저보트,34.81806,126.37056,1.0,5.1,319.0,1.6,34.81288,126.37017,34.81651,126.35884,0.003632,-0.011333,1.109,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0080,2024-07-02 16:53:00,7,16,여름,연안,화물선,4.0,기타,34.77778,126.40083,1.38,8.3,217.0,1.6,34.76505,126.38198,34.75753,126.38012,-0.007521,-0.001859,0.852,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0081,2021-01-26 19:13:00,1,19,겨울,연안,여객선,4.0,기타,34.81528,126.23639,1.57,3.2,347.0,1.6,34.83905,126.27044,34.83295,126.26382,-0.006094,-0.006613,0.906,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0082,2016-03-17 01:30:00,3,1,겨울,연안,어선,4.0,소형어선,35.02139,126.09306,2.07,5.7,271.0,1.6,34.99914,126.08245,34.99635,126.08816,-0.002793,0.005711,0.605,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0083,2021-09-23 16:37:00,9,16,여름,외해,어선,4.0,소형어선,35.18778,125.99361,5.54,2.6,244.0,0.9,35.23024,126.0573,35.23377,126.0391,0.003527,-0.018201,1.697,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0084,2012-08-28 22:15:00,8,22,여름,연안,어선,4.0,소형어선,35.39167,126.40667,1.92,2.6,188.0,1.6,35.4206,126.43882,35.42144,126.43853,0.000847,-0.000295,0.098,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0085,2018-08-15 11:41:00,8,11,여름,연안,예부선,4.0,기타,34.5,126.11667,6.32,3.4,191.0,1.6,34.5484,126.16578,34.54918,126.13657,0.000775,-0.029218,2.674,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0086,2019-11-27 08:40:00,11,8,겨울,연안,어선,4.0,소형어선,35.15083,126.27528,3.2,7.7,295.0,1.6,35.18548,126.35858,35.18763,126.37502,0.002145,0.016441,1.511,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0087,2020-04-20 08:19:00,4,8,여름,연안,모터보트,4.0,레저보트,35.01667,126.33333,7.52,3.8,236.0,1.6,35.09123,126.42076,35.07108,126.42873,-0.020146,0.007972,2.351,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0088,2019-11-28 13:02:00,11,13,겨울,연안,어선,4.0,소형어선,34.34333,126.125,2.04,5.5,269.0,1.6,34.37383,126.1777,34.37789,126.18989,0.004062,0.012183,1.204,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0089,2011-10-27 15:12:00,10,15,여름,외해,어선,4.0,소형어선,35.08333,125.2,2.01,4.8,209.0,0.9,35.082,125.19718,35.082,125.19738,-2e-06,0.000201,0.018,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0090,2024-09-03 15:11:00,9,15,여름,외해,어선,4.0,소형어선,33.98528,125.77667,1.67,9.2,205.0,0.9,33.98667,125.76514,33.98003,125.76677,-0.006636,0.001636,0.752,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0091,2020-01-28 11:52:00,1,11,겨울,외해,어선,4.0,소형어선,34.68333,125.43333,3.83,6.6,256.0,0.9,34.72699,125.49541,34.73107,125.50629,0.004085,0.010877,1.091,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0092,2024-01-17 15:53:00,1,15,겨울,연안,어선,4.0,소형어선,34.78778,126.39194,1.55,9.0,338.0,1.6,34.75848,126.37691,34.75792,126.3785,-0.000564,0.001598,0.159,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0093,2020-10-03 22:57:00,10,22,여름,연안,어선,4.0,소형어선,34.80333,126.35722,4.55,5.1,237.0,1.6,34.75814,126.31396,34.7568,126.32352,-0.001345,0.009559,0.884,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0094,2016-04-05 12:34:00,4,12,여름,연안,예부선,4.0,기타,34.8125,126.36417,0.54,5.4,233.0,1.6,34.82199,126.37646,34.8195,126.37864,-0.002493,0.002174,0.34,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0095,2015-08-09 11:37:00,8,11,여름,연안,기타,4.0,기타,35.30056,126.18917,3.91,4.1,203.0,1.6,35.33066,126.2141,35.32548,126.20601,-0.005182,-0.008087,0.931,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
L3_SYN_0096,2024-12-25 11:29:00,12,11,겨울,연안,어선,4.0,소형어선,34.72139,126.26278,3.6,5.8,298.0,1.6,34.65048,126.21194,34.65001,126.21514,-0.00047,0.003195,0.296,True,provided L3 synthetic dataset: found coordinates generated from incident position and current/wind conditions
